Model,Condition,TP,TN,FP,FN,Accuracy,Precision,Recall,F1_Score,MCC,ROC_AUC,PR_AUC
DeepPBI-KG,Phase7_LOSO_CV,1605,188,1134,223,0.5692063492063492,0.5859802847754655,0.8780087527352297,0.7028684037661485,0.029622038007420817,0.5014292713447234,0.5792389214728189
PhageHostLearn,Phase7_LOSO_CV,1249,420,902,579,0.5298412698412699,0.5806601580660158,0.6832603938730853,0.6277959286252828,0.0010189560278668955,0.4955172853279131,0.578054341762915
PhageHostLearn,Phase7_ReverseTransfer_B_to_A,6,4110,10,74,0.98,0.375,0.075,0.125,0.1610318359965564,0.7770964805825242,0.16464874942858299
