Model,Condition,TP,TN,FP,FN,Accuracy,Precision,Recall,F1_Score,MCC,ROC_AUC,PR_AUC
DeepPBI-KG,C1_Train_B,239,97,174,120,0.5333333333333333,0.5786924939467313,0.6657381615598886,0.6191709844559585,0.024663640161875396,0.5068096084860569,0.5635493406159544
DeepPBI-KG,C2_Train_A,0,269,2,359,0.42698412698412697,0.0,0.0,0.0,-0.06495278165474826,0.48952605124937043,0.5604152644633192
DeepPBI-KG,C3_Finetune,0,269,2,359,0.42698412698412697,0.0,0.0,0.0,-0.06495278165474826,0.5348806134300897,0.5823658123534601
PhageHostLearn,C1_Train_B,204,128,143,155,0.526984126984127,0.5878962536023055,0.5682451253481894,0.5779036827195467,0.040381021557518826,0.5185067171005973,0.5927759789081157
PhageHostLearn,C2_Train_A,3,267,4,356,0.42857142857142855,0.42857142857142855,0.008356545961002786,0.01639344262295082,-0.030245664719977944,0.516471543545519,0.5584570931447761
PhageHostLearn,C3_OptionA_IncrementalBoosting,235,109,162,124,0.546031746031746,0.5919395465994962,0.6545961002785515,0.6216931216931217,0.05826186478525974,0.5165229368171119,0.5774514800018011
PhageHostLearn,C3_OptionC_FeatureTransfer,199,124,147,160,0.5126984126984127,0.5751445086705202,0.5543175487465181,0.5645390070921986,0.011823028730398165,0.516790181829395,0.5823967074081906
