Model,ROC_AUC,PR_AUC,MCC,F1,Accuracy,Positive_predictions
A_from_scratch,0.7604573310558266,0.13525162525131998,0.19045521309282645,0.14814814814814814,0.9835714285714285,14.0
B_zero_shot,0.47922617736384615,0.014408388514159888,0.008037954263159168,0.03244646333549643,0.29,3015.0
B_to_A_reverse_3C,0.7857326000050557,0.1305128620318948,0.19045521309282645,0.14814814814814814,0.9835714285714285,14.0
