Condition,ROC_AUC,PR_AUC,MCC,F1,Accuracy,Tool
C1_Train_B,0.5068096084860569,0.5635493406159544,0.0246636401618753,0.6191709844559585,0.5333333333333333,DeepPBI-KG
C2_Train_A,0.4895260512493704,0.5604152644633192,-0.0649527816547482,0.0,0.4269841269841269,DeepPBI-KG
C3_Finetune,0.5348806134300897,0.5823658123534601,-0.0649527816547482,0.0,0.4269841269841269,DeepPBI-KG
C1_Train_B,0.5185067171005973,0.5927759789081157,0.0403810215575188,0.5779036827195467,0.526984126984127,PhageHostLearn
C2_Train_A,0.516471543545519,0.5584570931447761,-0.0302456647199779,0.0163934426229508,0.4285714285714285,PhageHostLearn
C3_OptionA_IncrementalBoosting,0.5165229368171119,0.5774514800018011,0.0582618647852597,0.6216931216931217,0.546031746031746,PhageHostLearn
C3_OptionC_FeatureTransfer,0.516790181829395,0.5823967074081906,0.0118230287303981,0.5645390070921986,0.5126984126984127,PhageHostLearn
