,ROC_AUC,PR_AUC,MCC,F1,Accuracy
C1_Train_B,0.5094923372632054,0.5888548078080277,0.02322365289590774,0.5836791147994468,0.5222222222222223
C2_Train_A,0.4964898395502061,0.551170723911018,-0.013832610146638547,0.01643835616438356,0.4301587301587302
C3_OptionA_IncrementalBoosting,0.4978157859573024,0.5550200044816476,0.04010627430727766,0.5953360768175583,0.5317460317460317
C3_OptionC_FeatureTransfer,0.5281994881230149,0.6032064584640795,0.03272266550383549,0.5937072503419972,0.5285714285714286
